County,mean_rent,median_rent,std_rent,count,rent_growth_slope
Carlow,739.6366594130435,687.585,210.53390671328714,1380,29.849138023385425
Cavan,586.1164218958612,542.9200000000001,176.47400632528817,1498,25.932959746554026
Clare,659.6857254196643,609.3499999999999,195.24480415003046,1668,23.99539037681392
Cork,866.5229193916557,824.59,263.7921837026657,9156,31.316818954126596
Cork City,1052.4193171471927,992.93,342.49439277772615,659,46.0045229113744
Donegal,529.4792486132123,499.56,135.27954558906242,1983,16.50681497605843
Dublin,1471.5807769284322,1373.605,520.5043462845155,7182,64.45712166452725
Dublin 1,1504.7522050290136,1398.005,695.9104581358572,1034,51.64932779175593
Dublin 10,1111.8188505747128,1035.38,250.30710905159853,609,51.13537703692765
Dublin 11,1156.036493902439,1107.23,284.5722646619887,1312,53.88790796143146
Dublin 12,1260.1860455104552,1205.335,343.50401501545434,1626,57.54492894677823
Dublin 13,1379.552598540146,1319.495,354.77000654015785,1370,55.717248100445346
Dublin 14,1635.4991968599033,1552.16,478.53105167158935,1656,78.5902648548284
Dublin 15,1255.4389256198347,1189.95,312.8202048044812,3146,55.02857799382268
Dublin 16,1553.97714,1491.665,412.9162970365696,1500,68.15085940109341
Dublin 17,1188.3423382045928,1119.63,276.48371692648317,479,47.492565889418835
Dublin 18,1624.1828091168093,1548.44,469.92547158548575,1755,60.714597747711316
Dublin 2,1589.6854681139755,1542.975,462.59345123635893,1474,58.96330695683601
Dublin 20,1194.5835330261136,1163.42,251.49111286782795,651,47.00338153607536
Dublin 22,1201.91921875,1127.9,292.67386333117406,384,51.19901319013035
Dublin 24,1258.4882904148783,1184.1750000000002,314.6737478470655,1398,58.24160772657213
Dublin 3,1321.4998157669236,1245.0500000000002,441.5696608409015,2334,56.55163402357493
Dublin 4,1789.1846713341113,1696.1,668.5996785655634,2571,72.44255357073087
Dublin 5,1325.4527996340346,1254.23,339.1425872033416,1093,62.442465721597785
Dublin 6,1473.4440962566844,1386.12,561.6777289914097,2805,63.25437476252723
Dublin 6W,1402.701851556265,1321.67,480.7979204923451,1253,66.647155521448
Dublin 7,1192.8771212121212,1126.39,371.4608458291787,2046,54.06685239124087
Dublin 8,1266.8099098746081,1199.565,390.49795920128514,2552,57.18419928639059
Dublin 9,1289.929064743705,1225.465,405.7315554830644,2224,59.50214314734409
Galway,838.0393564106724,800.96,254.13711529273857,5547,34.34635663767839
Galway City,1025.087347266881,944.48,350.50531589235163,622,51.272684603163086
Kerry,666.563482216708,628.03,194.06461541821056,2418,26.435358259630945
Kildare,1027.390376385464,981.4,321.35435170513904,4623,44.69048047392444
Kilkenny,717.9824769703173,698.62,152.8973056646651,977,23.126893357766473
Kilkenny City,745.5803978779841,729.72,170.19105109702903,377,31.007875368246772
Laois,688.8412556864021,647.45,200.10493506746616,1537,31.949122071973015
Leitrim,526.1083817951959,494.68,143.6366237390388,791,22.445483686953494
Limerick,818.2468381598734,749.12,293.48758155800834,2527,39.18358164303211
Limerick City,862.4606796116504,781.8199999999999,316.3141811244205,618,44.67079015553591
Longford,555.1569440000001,509.54499999999996,177.05124100478344,1250,28.61510831591122
Louth,851.4220376344086,793.12,255.95381119824185,1860,39.11644551331229
Mayo,618.116447033127,582.31,160.09878078572626,2747,19.8832619004851
Meath,955.8900924666848,902.17,295.36248239386623,3677,45.072699664648376
Monaghan,618.4918330849479,585.6949999999999,153.47595814970774,1342,21.61639007529066
Offaly,660.8307531865585,607.415,185.0912974351171,1726,26.717891477050976
Roscommon,594.1603519061583,546.99,196.9386221399168,1705,24.2755185342581
Sligo,695.0105182232346,642.95,250.75919674036615,1756,26.430537408714944
Tipperary,631.3978008989442,602.01,150.5845713995757,3315,18.502428972103555
Waterford,698.6069855755396,655.4,210.26233828275016,2780,32.52667676003417
Waterford City,724.5794322344323,676.3199999999999,242.64085050276358,546,35.2319788026689
Westmeath,693.3385145728155,642.51,205.22057493029405,2060,32.60125473363002
Wexford,677.7522603550295,643.94,165.65094925787338,2535,24.21860608727833
Wicklow,1076.3140547588005,1020.55,345.30478929424044,3068,42.19653759585836
